world,contrast,metric,n_pairs,mean_difference,ci_lower,ci_upper,interpretation
self_relevant,actual_need-curiosity,causal_target_sensing_share,72,0.11290792540792542,0.07541763791763793,0.15246272824397836,descriptive_secondary_only
self_relevant,actual_need-curiosity,causal_target_sensing_selectivity,72,0.09869488150738151,0.055345279720279736,0.14416281201437456,descriptive_secondary_only
self_relevant,actual_need-curiosity,replicated_restoration,72,0.2638888888888889,0.1388888888888889,0.3888888888888889,descriptive_secondary_only
self_relevant,actual_need-curiosity,bridge_decision_correct,72,0.2777777777777778,0.1527777777777778,0.4027777777777778,descriptive_secondary_only
self_relevant,actual_need-curiosity,diagnosis_observations,72,10.277777777777779,-2.0694444444444446,22.916666666666668,descriptive_secondary_only
self_relevant,actual_need-curiosity,total_cost,72,-0.025341666666667276,-0.04638758680555633,-0.00783880208333358,descriptive_secondary_only
self_relevant,actual_need-curiosity,self_domain_observation_share,72,-0.046474358974358976,-0.05732808857808861,-0.03579059829059831,descriptive_secondary_only
self_relevant,actual_need-no_need,causal_target_sensing_share,72,0.11290792540792542,0.07541763791763793,0.15246272824397836,descriptive_secondary_only
self_relevant,actual_need-no_need,causal_target_sensing_selectivity,72,0.09869488150738151,0.055345279720279736,0.14416281201437456,descriptive_secondary_only
self_relevant,actual_need-no_need,replicated_restoration,72,0.3333333333333333,0.18055555555555555,0.4722222222222222,descriptive_secondary_only
self_relevant,actual_need-no_need,bridge_decision_correct,72,0.3194444444444444,0.16666666666666666,0.4722222222222222,descriptive_secondary_only
self_relevant,actual_need-no_need,diagnosis_observations,72,-99.04166666666667,-118.09722222222223,-80.625,descriptive_secondary_only
self_relevant,actual_need-no_need,total_cost,72,0.10174166666666701,0.08785602430555584,0.11561876736111187,descriptive_secondary_only
self_relevant,actual_need-no_need,self_domain_observation_share,72,0.08328477078477078,0.07417929292929294,0.09229312354312354,descriptive_secondary_only
